"scientific_name","common_name","code4","code6","listing.status_federal","listing.status_iucn","states.listed","states.present","states.endangered","states.threatened","state.sppofconcern","listing.status_federal.proposed","hibernation.strategy","phonic.group","notes"
"Eumops perotis","Greater bonneted bat","eupe","eumper","Not Listed","Least Concern","","AZ,CA,NM,TX","","","","","resident","Lof",""
"Eumops underwoodi","Underwood's bonneted bat","euun","eumund","Not Listed","Least Concern","","AZ","","","","","resident","Lof","very limited US (AZ) records"
"Idionycteris phyllotis","Allen's big-eared bat","idph","idiphy","Not Listed","Least Concern","","AZ,CA,CO,NM,NV,UT","","","","","unknown","Lof","poorly studied - winter/hibernation-site behavior not well documented for this species"
"Lasionycteris noctivagans","Silver-haired bat","lano","lasnoc","Not Listed","Least Concern","","AK,AL,AR,AZ,CA,CO,CT,DE,FL,GA,IA,ID,IL,IN,KS,KY,LA,MA,MD,ME,MI,MN,MO,MS,MT,NC,ND,NE,NH,NJ,NM,NV,NY,OH,OK,OR,PA,RI,SC,SD,TN,TX,UT,VA,VT,WA,WI,WV,WY","","","","","migratory","Lof",""
"Lasiurus borealis","Eastern red bat","labo","lasbor","Not Listed","Least Concern","","AL,AR,CO,CT,DE,FL,GA,IA,IL,IN,KS,KY,LA,MA,MD,ME,MI,MN,MO,MS,MT,NC,ND,NE,NH,NJ,NM,NY,OH,OK,PA,RI,SC,SD,TN,TX,VA,VT,WI,WV,WY","","","","","migratory","Hif",""
"Lasiurus cinereus","Hoary bat","laci","lascin","Endangered","Least Concern","","AK,AL,AR,AZ,CA,CO,CT,DE,FL,GA,HI,IA,ID,IL,IN,KS,KY,LA,MA,MD,ME,MI,MN,MO,MS,MT,NC,ND,NE,NH,NJ,NM,NV,NY,OH,OK,OR,PA,RI,SC,SD,TN,TX,UT,VA,VT,WA,WI,WV,WY","","","","","migratory","Lof",""
"Lasiurus cinereus semotus","Hawaiian hoary bat","lacs","lacise","Endangered","Least Concern","","HI","","","","","resident","Lof","same call/hibernation biology as mainland L. cinereus, but the Hawaiian population does not undertake the mainland's continental migration"
"Lasiurus ega","Southern yellow bat","laeg","lasega","Not Listed","Least Concern","","AZ,CA,NM,TX","","","","","resident","Hif","LOWER CONFIDENCE call-frequency estimate (yellow bat group, less-studied)"
"Lasiurus frantzii","Desert Red Bat","lafr","lasfra","Not Listed","","","AZ,CA,NM,TX","","","","","migratory","Hif","recently split from L. blossevillii - LOWER CONFIDENCE, based on close congeners"
"Lasiurus intermedius","Northern yellow bat","lain","lasint","Not Listed","Least Concern","","AL,FL,GA,LA,MS,NC,PA,SC,TX,VA","","","","","resident","Hif","LOWER CONFIDENCE call-frequency estimate (yellow bat group)"
"Lasiurus minor","Minor red bat","lami","lasmin","Not Listed","Vulnerable","","PR","","","","","resident","Hif","Caribbean population - LOWER CONFIDENCE, based on close congeners (L. borealis-type)"
"Lasiurus seminolus","Seminole bat","lase","lassem","Not Listed","Least Concern","OK","AL,AR,FL,GA,KY,LA,MO,MS,NC,OK,SC,TN,TX,VA","","","","","mixed","Hif","documented partial migrant - some individuals overwinter via torpor in the Deep South rather than migrating"
"Lasiurus xanthinus","Western yellow bat","laxa","lasxan","Not Listed","Least Concern","","AZ,CA,NM","","","","","resident","Hif","LOWER CONFIDENCE call-frequency estimate (yellow bat group)"
"Leptonycteris nivalis","Mexican long-nosed bat","leni","lepniv","Endangered","Endangered","NM,TX","AZ,NM,TX","NM,TX","","","","migratory","Hif",""
"Leptonycteris yerbabuenae","Lesser long-nosed bat","leye","lepyer","Not Listed","Vulnerable","","AZ,CA,NM","","","","","migratory","Hif",""
"Macrotus californicus","California leaf-nosed bat","maca","maccal","Not Listed","Least Concern","","AZ,CA,NV","","","","","resident","None","the ONLY North American bat documented to stay fully active year-round with no hibernation or migration, even in the desert"
"Molossus molossus","Pallas' mastiff bat","momo","molmol","Not Listed","Least Concern","","FL","","","","","resident","Hif",""
"Mormoops megalophylla","Peter's ghost-faced bat","mome","mormeg","Not Listed","Least Concern","","AZ,TX","","","","","unknown","Hif","LOWER CONFIDENCE hibernation call: only a marginal edge-of-range US (TX/AZ) population, poorly documented"
"Myotis auriculus","Southwestern myotis","myar","myoaur","Not Listed","Least Concern","","AZ,NM","","","","","hibernating","Hif","LOWER CONFIDENCE (desert Myotis, less-studied than eastern species)"
"Myotis austroriparius","Southeastern myotis","myau","myoaus","Not Listed","Least Concern","","AL,AR,FL,GA,IL,IN,KY,LA,MS,NC,OK,SC,TN,TX","","","","","mixed","Hif","documented species-level variability - some populations hibernate in caves, Florida populations largely remain active year-round"
"Myotis californicus","California myotis","myca","myocal","Not Listed","Least Concern","","AZ,CA,CO,ID,MT,NM,NV,OR,TX,UT,WA,WY","","","","","hibernating","Hif","LOWER CONFIDENCE (mild-climate coastal populations may be less strict hibernators than assumed here)"
"Myotis ciliolabrum","Western small-footed myotis","myci","myocil","Not Listed","Least Concern","","AZ,CA,CO,ID,KS,MT,ND,NE,NM,NV,OK,OR,SD,TX,UT,WA,WY","","","","","hibernating","Hif",""
"Myotis evotis","Long-eared myotis","myev","myoevo","Not Listed","Least Concern","","AZ,CA,CO,ID,MT,ND,NM,NV,OR,SD,UT,WA,WY","","","","","hibernating","Hif",""
"Myotis grisescens","Gray bat","mygr","myogri","Endangered","Vulnerable","","AL,AR,GA,IL,IN,KS,KY,MO,MS,NC,OK,TN,VA,WV","","","","","hibernating","Hif",""
"Myotis keenii","Keen's myotis","myke","myokee","Not Listed","Least Concern","AK,WA","AK,WA","","","AK,WA","","hibernating","Hif",""
"Myotis leibii","Eastern small-footed myotis","myle","myolei","Not Listed","Endangered","CT,GA,MA,MD,MO,NC,NH,NJ,NY,OH,OK,PA,TN,VA,VT,WV","AL,AR,CT,GA,KY,MA,MD,ME,MI,MO,NC,NH,NJ,NY,OH,OK,PA,RI,TN,VA,VT,WV","NH","PA,VT","CT,GA,MA,MD,MO,NC,NJ,NY,OH,OK,TN,VA,WV","","hibernating","Hif",""
"Myotis lucifugus","Little brown bat","mylu","myoluc","Under Review","Endangered","CT,MA,ME,MI,NH,NJ,OH,PA,TN,VA,VT,WI","AK,AL,AR,AZ,CA,CO,CT,DE,FL,GA,IA,ID,IL,IN,KS,KY,MA,MD,ME,MI,MN,MO,MS,MT,NC,ND,NE,NH,NJ,NM,NV,NY,OH,OK,OR,PA,RI,SC,SD,TN,UT,VA,VT,WA,WI,WV,WY","CT,MA,ME,NH,NJ,PA,VA,VT","TN,WI","MI,OH","Under Review, start year unconfirmed","hibernating","Hif",""
"Myotis occultus","Arizona myotis","myoc","myoocc","Not Listed","Least Concern","","AZ,CA,NM","","","","","hibernating","Hif","LOWER CONFIDENCE (desert Myotis, less-studied)"
"Myotis septentrionalis","Northern long-eared bat","myse","myosep","Endangered","Near Threatened","","AL,AR,CT,DE,GA,IA,IL,IN,KS,KY,LA,MA,MD,ME,MI,MN,MO,MS,MT,NC,ND,NE,NH,NJ,NY,OH,OK,PA,RI,SC,SD,TN,VA,VT,WI,WV,WY","","","","","hibernating","Hif",""
"Myotis sodalis","Indiana bat","myso","myosod","Endangered","Near Threatened","","AL,AR,CT,IA,IL,IN,KY,MD,MI,MO,NC,NJ,NY,OH,OK,PA,TN,VA,VT,WV","","","","","hibernating","Hif",""
"Myotis thysanodes","Fringed myotis","myth","myothy","Not Listed","Least Concern","","AZ,CA,CO,NM,NV,OR,SD,TX,UT,WA,WY","","","","","hibernating","Hif",""
"Myotis velifer","Cave bat myotis","myve","myovel","Not Listed","Least Concern","","AZ,CA,KS,NM,OK,TX","","","","","mixed","Hif","documented species-level variability - northern populations hibernate, southern/border populations may remain active in mild winters"
"Myotis volans","Long-legged myotis","myvo","myovol","Not Listed","Least Concern","","AK,CA,CO,ID,MT,ND,NE,NM,OR,SD,TX,WY","","","","","hibernating","Hif",""
"Myotis yumanensis","Yuma myotis","myyu","myoyum","Not Listed","Least Concern","","CA,CO,ID,MT,NV,OR,TX,UT,WA","","","","","mixed","Hif","documented species-level variability - similar pattern to M. velifer/austroriparius"
"Noctilio leporinus","Greater bulldog bat","nole","noclep","Not Listed","Least Concern","","","","","","","unknown","Hif","no confirmed current PR/US-territory population per $states.present (blank) - hibernation.strat reflects lack of a documented US-range population, not species biology generally; $phonic.group instead reflects general species/family biology (a loud, high-frequency fishing bat) since call type is a fixed physical trait independent of range presence"
"Nycticeius humeralis","Evening bat","nyhu","nychum","Not Listed","Least Concern","IN,KY,MI,OH","AL,AR,FL,GA,IA,IL,IN,KS,KY,LA,MD,MI,MN,MO,MS,NC,NE,OH,OK,PA,SC,TN,TX,VA,WI,WV","IN","KY,MI","OH","","migratory","Hif","some populations migrate, southern populations may be more resident - classified migratory per general accounts, LOWER CONFIDENCE on the split"
"Nyctinomops femorosaccus","Pocketed free-tailed bat","nyfe","nycfem","Not Listed","Least Concern","","AZ,CA,NM,TX","","","","","migratory","Lof",""
"Nyctinomops macrotis","Big free-tailed bat","nyma","nycmac","Not Listed","Least Concern","","CA,NV,TX,UT","","","","","migratory","Lof",""
"Parastrellus hesperus","Canyon bat","pahe","parhes","Not Listed","Least Concern","","AZ,CA,CO,NM,NV,OK,TX,UT,WA","","","","","resident","Hif",""
"Perimyotis subflavus","Tri-colored bat","pesu","persub","Proposed Endangered","Vulnerable","","AL,AR,CO,CT,DC,DE,FL,GA,IA,IL,IN,KS,KY,LA,MA,MD,ME,MI,MN,MO,MS,NC,NE,NH,NJ,NM,NY,OH,OK,PA,RI,SC,SD,TN,TX,VA,VT,WI,WV,WY","","","","Proposed Endangered, 2022","hibernating","Hif",""
"Stenoderma rufum","Red fruit bat","stru","steruf","Not Listed","Near Threatened","","PR,VI","","","","","resident","None",""
"Tadarida brasiliensis","Brazilian free-tailed bat","tabr","tadbra","Not Listed","Least Concern","","AZ,CA,CO,FL,KS,NM,NV,OK,TX,UT","","","","","mixed","Lof","very well-documented species-level mix: most populations (e.g. the famous Bracken Cave, TX colony) migrate to Mexico for winter, but Florida/Gulf coast populations are non-migratory and active year-round"
"All detections","All detections","All detections","All detections","","","","","","","","","","","Category/detection-type label (not a species), added 2026-08-27 per Josh's request. latin/common/code4/code6 all hold this same literal string, so it matches case-insensitively (same normalize() rule as species rows) and any of those four batname.format.out values return the exact given casing. Species-only batname.format.out columns return """"."
"40KHzMyo","40KHzMyo","40KHzMyo","40KHzMyo","","","","","","","","","","","Category/detection-type label (not a species), added 2026-08-27 per Josh's request. latin/common/code4/code6 all hold this same literal string, so it matches case-insensitively (same normalize() rule as species rows) and any of those four batname.format.out values return the exact given casing. Species-only batname.format.out columns return """"."
"HiF","HiF","HiF","HiF","","","","","","","","","","","Category/detection-type label (not a species), added 2026-08-27 per Josh's request. latin/common/code4/code6 all hold this same literal string, so it matches case-insensitively (same normalize() rule as species rows) and any of those four batname.format.out values return the exact given casing. Species-only batname.format.out columns return """"."
"LoF","LoF","LoF","LoF","","","","","","","","","","","Category/detection-type label (not a species), added 2026-08-27 per Josh's request. latin/common/code4/code6 all hold this same literal string, so it matches case-insensitively (same normalize() rule as species rows) and any of those four batname.format.out values return the exact given casing. Species-only batname.format.out columns return """"."
"HiFrag","HiFrag","HiFrag","HiFrag","","","","","","","","","","","Category/detection-type label (not a species), added 2026-08-27 per Josh's request. latin/common/code4/code6 all hold this same literal string, so it matches case-insensitively (same normalize() rule as species rows) and any of those four batname.format.out values return the exact given casing. Species-only batname.format.out columns return """"."
"LoFrag","LoFrag","LoFrag","LoFrag","","","","","","","","","","","Category/detection-type label (not a species), added 2026-08-27 per Josh's request. latin/common/code4/code6 all hold this same literal string, so it matches case-insensitively (same normalize() rule as species rows) and any of those four batname.format.out values return the exact given casing. Species-only batname.format.out columns return """"."
"Multiple","Multiple","Multiple","Multiple","","","","","","","","","","","Category/detection-type label (not a species), added 2026-08-27 per Josh's request. latin/common/code4/code6 all hold this same literal string, so it matches case-insensitively (same normalize() rule as species rows) and any of those four batname.format.out values return the exact given casing. Species-only batname.format.out columns return """"."
"Social","Social","Social","Social","","","","","","","","","","","Category/detection-type label (not a species), added 2026-08-27 per Josh's request. latin/common/code4/code6 all hold this same literal string, so it matches case-insensitively (same normalize() rule as species rows) and any of those four batname.format.out values return the exact given casing. Species-only batname.format.out columns return """"."
